name                 |optical_name|ra         |dec        |porb   |fx_limit|fx      |fx_max |xray_type|lii      |bii      |position_type|ref_optical|vmag_limit|vmag |vmag_min|vmag_flag|bv_color|bv_color_flag|bv_color_max|ub_color|reddening|reddening_max|reddening_flag|ref_photometry |jmag  |hmag_limit|hmag  |kmag_limit|kmag  |fx_range      |ref_fx     |porb_flag|pulse_per |pulse_per_flag|ref_periods|spect_type  |alt_name_1           |alt_name_1_flag|alt_name_2  |alt_name_3|class                                  |
1H 1253-761          |HD 109857   |12 39 14.60|-75 22 14.0|       |        |    0.60|       |         |302.14353|-12.51748|O            |719        |          | 6.49|        |         |    0.08|             |            |   -0.24|     0.20|             |              |111,564        | 6.169|          | 6.169|          | 6.102|              |850        |         |          |              |           |B7 Vne      |                     |               |SAO 256967  |          |                          HMXRB BE STAR|
IGR J12349-6434      |RT Cru      |12 34 54.70|-64 33 55.6|       |        |    1.30|       |T, P     |301.15792| -1.75063|X            |           |          |12.46|        |         |    1.75|             |            |    0.28|         |             |              |96             | 6.646|          | 5.583|          | 5.185|(0.5--10 keV) |777        |         |          |              |           |O-A         |                     |               |            |          |                     HMXRB X-RAY PULSAR|
2RXP J130159.6-635806|            |13 01 58.70|-63 58 09.0|       |        |    6.30|       |T, P     |304.08824| -1.12109|IR           |           |          |     |        |         |        |             |            |        |         |             |              |93             |13.000|          |12.100|          |11.400|(20--60 keV)  |93         |         |  704.0000|              |93         |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1H 1249-637          |HD 110432   |12 42 50.30|-63 03 31.0|       |        |    2.20|       |         |301.95802| -0.20313|O            |719        |          | 5.31|        |         |    0.27|             |            |   -0.79|     0.40|             |              |111,564        | 4.655|          | 4.339|          | 4.038|              |850        |         |14200.0000|?             |771        |B0.5IIIe    |                     |               |SAO 252002  |BZ Cru    |                          HMXRB BE STAR|
4U 1223-624          |BP Cru ?    |12 26 37.60|-62 46 13.0| 41.590|        |    9.00| 1000.0|P, T, C  |300.09815| -0.03512|O            |65         |          |10.80|        |         |    1.76|             |            |    0.42|     1.84|             |              |57,274,764,805 | 6.717|          | 6.077|          | 5.672|              |64         |         |  696.0000|              |547,689    |B1-1.5 Ia   |GX 301-2             |               |WRA 977     |          |          HMXRB SUPERGIANT X-RAY PULSAR|
2S 1417-624          |No. 7       |14 21 12.90|-62 41 54.0| 42.120|        |    2.00|   43.0|P, T     |313.02125| -1.59848|O            |13         |          |17.20|        |:        |    0.70|:            |        1.70|    0.80|     2.00|             |:             |258            |13.297|          |12.747|          |12.294|              |64         |         |   17.6000|              |207,373    |B1Ve        |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
2S 1145-619          |V801 Cen    |11 48 00.00|-62 12 25.0|187.500|        |    4.00| 1000.0|P, T     |295.61107| -0.24028|O            |65         |          | 9.30|        |         |    0.18|             |            |   -0.81|     0.35|             |              |568,564,816    | 8.677|          | 8.577|          | 8.403|              |64         |         |  292.4000|              |547,819    |B0.2IIIe    |2E 1145.5-6155       |               |HD 102567   |          |             HMXRB BE STAR X-RAY PULSAR|
SAX J1324.4-6200     |            |13 24 26.30|-62 00 53.0|       |        |    0.40|       |P        |306.79301|  0.60938|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |9          |         |  170.8400|              |9          |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1E 1145.1-6141       |V830 Cen    |11 47 28.60|-61 57 14.0| 14.400|        |    4.00|   70.0|P        |295.48987| -0.00984|O            |322        |          |13.10|        |         |    1.50|             |            |    0.15|     1.60|             |              |166,331        | 9.607|          | 9.110|          | 8.810|              |322, 50    |         |  298.0000|              |628,414    |B2Iae       |                     |               |            |          |          HMXRB SUPERGIANT X-RAY PULSAR|
1A 1118-615          |Hen 3-640   |11 20 57.20|-61 55 00.0|       |        |    0.10|   70.0|P, T     |292.49858| -0.89174|O            |355        |          |12.10|        |         |    0.96|             |            |   -0.30|     1.20|             |              |355            | 9.563|          | 9.071|          | 8.587|              |64,536     |         |  405.0000|              |547        |O9.5Ve      |                     |               |WRAY 15-793 |          |             HMXRB BE STAR X-RAY PULSAR|
4U 1258-61           |V850 Cen    |13 01 17.10|-61 36 07.0|133.000|        |    0.30|  200.0|P, T?    |304.10272|  1.24742|IR           |489        |          |13.50|   14.20|         |    1.70|             |            |    0.80|     2.00|             |              |136,568,585    | 9.798|          | 9.297|          | 9.040|              |64,601     |?        |  272.0000|              |547,617    |B0.7Ve      |GX 304-1             |               |No. 2 (MMV) |          |             HMXRB BE STAR X-RAY PULSAR|
IGR J11435-6109      |            |11 44 10.70|-61 07 02.0| 52.460|        |   10.00|       |T, P     |294.89920|  0.70118|O            |           |          |     |        |         |        |             |            |        |         |             |              |135            |11.486|          |11.236|          |11.107|(18--45 keV)  |252        |         |  161.7600|              |335,744    |B3e         |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
1H 0749-600          |HD 65663    |07 50 15.77|-61 05 58.2|       |        |    0.70|       |         |273.69327|-16.85817|IR           |719        |          | 6.73|        |         |    0.05|             |            |   -0.25|     0.09|             |              |152,153,778    | 6.542|          | 6.571|          | 6.534|              |850        |         |          |              |           |B8 IIIe     |                     |               |SAO 250018  |          |                          HMXRB BE STAR|
1A 1244-604          |            |12 47 35.00|-60 38 34.0|       |&lt;       |   24.00|  100.0|T        |302.45915|  2.22543|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |78         |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
4U 1119-603          |V779 Cen    |11 21 15.10|-60 37 25.5|  2.090|        |   10.00|  312.0|P, E, C  |292.09035|  0.33556|X            |70,408     |          |13.30|        |         |    1.07|             |            |   -0.04|     1.40|             |              |321,408,656    |10.736|          |10.311|          |10.093|              |64         |         |    4.8400|              |374,547    |O6.5 II-III |Cen X-3              |               |            |          |           HMXRB X-RAY PULSAR ECLIPSING|
1H 1238-599          |            |12 42 01.00|-60 12 00.0|       |        |    3.00|   16.0|P        |301.76038|  2.65032|X            |175        |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |64,815,850 |         |  191.0000|              |309        |3A 1239-599 |                     |               |            |          |                     HMXRB X-RAY PULSAR|
IGR J11215-5952      |HD 306414   |11 21 46.81|-59 51 47.9|       |        |   42.00|       |T        |291.89319|  1.07292|O            |           |          | 9.98|        |         |    0.59|             |            |   -0.45|     0.78|             |              |387,807        | 8.550|          | 8.340|          | 8.190|(20--60 keV)  |444        |         |          |              |           |B1Ia        |                     |               |            |          |                       HMXRB SUPERGIANT|
SAX J1452.8-5949     |            |14 52 49.30|-59 49 18.0|       |        |    0.04|       |P        |317.64500| -0.46340|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |569        |         |  437.4000|              |569        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1A 1246-588          |            |12 49 36.00|-59 07 18.0|       |&lt;       |   24.00|  300.0|T        |302.69560|  3.74924|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |78         |         |          |              |           |4U 1246-58  |                     |               |            |          |                                  HMXRB|
GRO J1008-57         |star        |10 09 46.90|-58 17 35.5|135.000|        | 1200.00|       |T, P     |282.99992| -1.82173|O            |117        |          |15.27|        |         |   -1.66|             |            |        |     1.90|          2.0|              |117,657        |10.943|          |10.272|          | 9.718|              |738        |         |   93.5000|              |706,738    |B0e         |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
1H 1255-567          |mu.02 Cru   |12 54 36.90|-57 10 07.0|       |        |    0.80|       |         |303.36468|  5.70047|O            |           |          | 5.17|        |         |   -0.12|             |            |   -0.51|     0.04|             |              |564,710        | 5.316|          | 5.383|          | 5.313|              |850        |         |          |              |           |B5 Ve       |                     |               |SAO 240367  |          |                          HMXRB BE STAR|
RX J1037.5-5647      |LS 1698     |10 37 35.20|-56 47 59.0|       |        |    3.30|       |P, T     |285.35291|  1.43260|X            |539        |          |11.30|        |         |    0.90|             |            |        |     0.75|             |              |539            |      |          |      |          |      |              |632,815    |         |  862.0000|              |632        |B0V-IIIe    |4U 1036-56           |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
XTE J1543-568        |            |15 44 01.00|-56 45 54.0| 75.560|        |    8.00|       |T, P     |324.95121| -1.46121|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |475        |         |   27.1200|              |342,475    |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1H 1555-552          |HD 141926   |15 54 21.80|-55 19 45.0|       |        |    1.70|       |         |326.97618| -1.23892|O            |719        |          | 8.60|        |         |    0.56|             |            |   -0.43|         |             |              |192,806        | 7.098|          | 6.841|          | 6.509|              |850        |         |          |              |           |B2IIIn      |                     |               |SAO 243098  |          |                                  HMXRB|
2S 1553-542          |            |15 57 49.00|-54 24 54.0| 30.600|        |   27.00|       |P        |327.94412| -0.85703|X            |12         |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |64         |         |    9.3000|              |375,547    |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1H 0739-529          |HD 63666    |07 47 23.60|-53 19 57.0|       |        |    0.70|       |         |266.31268|-13.72584|O            |719        |          | 7.62|        |         |    0.02|             |            |   -0.24|         |             |              |456,564,778    | 7.403|          | 7.406|          | 7.363|              |850        |         |          |              |           |B7 IV-Ve    |                     |               |SAO 235515  |          |                          HMXRB BE STAR|
4U 1538-52           |QV Nor      |15 42 23.30|-52 23 10.0|  3.730|&lt;       |    3.00|   30.0|P, E, C  |327.41949|  2.16370|O            |12         |          |14.40|        |         |    1.90|             |            |    0.60|     2.10|             |              |147,330,584    |10.358|          | 9.910|          | 9.677|              |64         |         |  529.0000|              |31,158     |B0 Iab      |                     |               |No. 12      |          |HMXRB SUPERGIANT X-RAY PULSAR ECLIPSING|
IGR J16195-4945      |HD 146628?  |16 19 29.00|-49 45 30.0|       |        |    9.00|       |         |333.53932|  0.33326|X            |707        |          |10.08|        |         |    0.44|             |            |        |         |             |              |707            | 8.575|          | 8.412|          | 8.377|              |707        |         |          |              |           |B1-2Ia      |AX J1619.4-4945      |               |            |          |                       HMXRB SUPERGIANT|
IGR J16318-4848      |No. 1       |16 31 48.31|-48 49 00.7|       |        |   45.00|       |         |335.61599| -0.44776|O            |205        |&gt;         |21.10|        |         |        |             |            |        |     5.60|             |              |205            |10.330|&lt;         |10.400|&lt;         | 9.100|              |498        |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
IGR J16283-4838      |            |16 28 10.70|-48 38 55.0|       |        |   13.00|       |         |335.32671|  0.10203|X            |33         |          |     |        |         |        |             |            |        |         |             |              |               |16.798|          |15.815|          |13.948|(20--40 keV)  |33         |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
IGR J16320-4751      |No. 1       |16 32 01.90|-47 52 27.1|  8.960|        |   17.00|       |P        |336.32997|  0.16892|X            |671        |          |     |        |         |        |             |            |        |         |             |              |               |14.080|          |13.028|          |10.986|              |343        |         | 1309.0000|              |142,450    |            |AX J1631.9-4752      |               |            |          |                     HMXRB X-RAY PULSAR|
IGR J16358-4726      |            |16 35 58.00|-47 24 24.0|       |        |    7.00|       |T, P     |337.12311| -0.00089|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |591        |         | 5880.0000|              |591        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
AX J1639.0-4642      |            |16 39 05.40|-46 42 14.0|       |        |    0.80|       |P        |338.00124|  0.07508|IR           |           |          |     |        |         |        |             |            |        |         |             |              |               |14.633|          |13.316|          |12.780|(0.7--10keV)  |51         |         |  912.0000|              |51         |            |IGR J16393-4643      |               |            |          |                     HMXRB X-RAY PULSAR|
IGR J16418-4532      |            |16 41 45.00|-45 31 12.0|       |        |    1.00|       |         |339.19309|  0.51511|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |(20--40 keV)  |446        |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
IGR J16479-4514      |            |16 48 07.00|-45 12 05.8|       |        |  470.00|       |T        |340.16406| -0.12466|X            |           |          |20.40|        |:        |        |             |            |        |         |             |              |[379           |12.950|          |10.820|          | 9.790|(20--30 keV)  |[704       |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
IGR J16465-4507      |            |16 46 35.26|-45 07 04.5|       |        |   16.00|       |T, P     |340.05357|  0.13505|IR           |           |          |     |        |         |        |             |            |        |         |             |              |560            |10.537|          |10.079|          | 9.843|(18--60 keV)  |446        |         |  228.0000|              |447        |B0.5I       |                     |               |            |          |          HMXRB SUPERGIANT X-RAY PULSAR|
1WGA J0648.0-4419    |HD 49798    |06 48 04.60|-44 18 58.4|  1.550|        |    0.03|       |P        |253.70642|-19.14120|O            |           |          | 8.27|        |         |   -0.24|             |            |   -1.18|         |             |              |359            | 8.862|          | 9.005|          | 9.072|              |347        |         |   13.1789|              |347,762    |sdO6        |RX J0648.1-4419      |               |            |          |                     HMXRB X-RAY PULSAR|
IGR J16493-4348      |            |16 49 21.00|-43 48 36.0|       |        |    0.40|       |         |341.37079|  0.60251|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |472        |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
GS 0834-430          |No. D       |08 35 55.40|-43 11 11.9|105.800|        |   30.00|  300.0|T, P     |262.02096| -1.51074|O            |349        |          |20.40|        |         |        |             |            |        |     4.00|             |              |349            |      |          |      |          |      |              |249        |         |   12.3000|              |249,836    |B0-2 III-Ve |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
AX J1700-419         |            |17 00 05.30|-41 57 44.0|       |        |    0.40|       |P        |344.04452|  0.23717|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |770        |         |  714.5000|              |770        |            |AX J170006-4157      |               |            |          |                     HMXRB X-RAY PULSAR|
OAO 1657-415         |star        |17 00 48.90|-41 39 21.6| 10.400|        |    4.00|   42.0|P, E     |344.36915|  0.31918|X            |83         |          |     |        |         |        |             |            |        |     6.60|             |              |83             |14.665|          |13.778|          |13.383|              |64         |         |   38.0000|              |81,547     |B SG        |                     |               |            |          |           HMXRB X-RAY PULSAR ECLIPSING|
4U 0900-40           |HD 77581    |09 02 06.90|-40 33 17.0|  8.960|        |    2.00| 1100.0|P, E, C  |263.05839|  3.92993|O            |213        |          | 6.90|        |         |    0.47|             |            |   -0.51|     0.70|             |              |182,564        | 5.833|          | 5.705|          | 5.596|              |64         |         |  283.0000|              |161,547,786|B0.5 Ib     |Vela X-1             |               |GP Vel      |          |HMXRB SUPERGIANT X-RAY PULSAR ECLIPSING|
4U 1700-37           |HD 153919   |17 03 56.80|-37 50 39.0|  3.410|&lt;       |   11.00|  110.0|E, C     |347.75446|  2.17340|O            |362        |          | 6.60|        |         |    0.27|             |            |   -0.72|     0.52|             |              |276,596,848    | 5.744|          | 5.639|          | 5.496|              |64         |         |          |              |362        |O6.5Iaf^+^  |                     |               |V884 Sco    |          |             HMXRB SUPERGIANT ECLIPSING|
IGR J17091-3624      |            |17 09 02.30|-36 23 33.0|       |        |   22.00|       |T, R     |349.52595|  2.23569|R            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |(15--40 keV)  |411        |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
EXO 1722-363         |            |17 25 11.40|-36 16 57.5|  9.740|        |    0.20|    8.0|P, E     |351.49727| -0.35395|IR           |           |          |     |        |         |        |             |            |        |         |             |              |               |14.218|          |11.811|          |10.672|              |754,141    |         |  413.9000|              |141,754    |            |IGR J17252-3616      |               |            |          |           HMXRB X-RAY PULSAR ECLIPSING|
RX J0812.4-3114      |LS 992      |08 12 28.40|-31 14 21.0| 81.300|        |    0.60|       |T, P     |249.57107|  1.54770|IR           |539        |          |12.48|        |         |    0.38|             |            |   -0.29|     0.65|             |              |637            |11.335|          |11.126|          |10.909|              |539        |         |   31.8851|              |133,631    |B0.2IVe     |                     |               |V572 Pup    |          |             HMXRB BE STAR X-RAY PULSAR|
XTE J1739-302        |            |17 39 11.58|-30 20 37.6|       |        |  136.00|       |T        |358.06784|  0.44517|X            |           |          |14.89|        |         |    2.97|             |            |    1.68|     3.40|             |              |562            | 8.600|          | 7.823|          | 7.428|(2--25 keV)   |715        |         | 1500.0000|?             |684        |O8Iab(f)    |IGR J17391-3021      |               |            |          |                       HMXRB SUPERGIANT|
RX J1739.4-2942      |            |17 39 30.10|-29 42 07.0|       |        |    2.50|       |T        |358.64668|  0.73046|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |(3--12 keV)   |593        |         |          |              |           |GRS 1736-297|                     |               |            |          |                                  HMXRB|
AX J1740.1-2847      |            |17 40 11.60|-28 47 48.0|       |        |    0.20|       |P        |359.49377|  1.08387|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |683        |         |  729.0000|              |683        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
AX J1749.1-2733      |            |17 49 06.00|-27 33 00.0|       |        |    0.20|       |T        |  1.58270|  0.06234|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |(0.7--10 keV) |684        |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
AX J1749.2-2725      |            |17 49 10.10|-27 25 16.0|       |        |    1.36|       |T, P     |  1.70100|  0.11570|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |769        |         |  220.3800|              |769        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
RX J1744.7-2713      |V3892 Sgr   |17 44 45.70|-27 13 44.0|       |        |    0.06|       |         |  1.35781|  1.05224|O            |           |          | 8.40|        |         |    0.44|             |            |   -0.64|         |             |              |180,727        | 7.054|          | 6.843|          | 6.507|              |539        |         |          |              |           |B0.5V-IIIe  |                     |               |HD 161103   |          |                          HMXRB BE STAR|
GRO J1750-27         |            |17 49 12.70|-26 38 36.0| 29.800|        |   56.00|       |P, T     |  2.37283|  0.50774|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |698        |         |    4.4500|              |698        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
IGR J17544-2619      |No. C1      |17 54 25.28|-26 19 52.6|       |        |   89.00|       |T        |  3.23599| -0.33559|IR           |595        |          |12.65|        |         |    1.79|             |            |        |     2.07|             |              |595            | 8.791|          | 8.310|          | 8.018|(17--45keV)   |250        |         |          |              |           |O9Ib        |1RXS J175428.3-262035|               |            |          |                       HMXRB SUPERGIANT|
3A 0726-260          |V441 Pup    |07 28 53.60|-26 06 29.0| 34.500|        |    1.20|    4.7|T, P     |240.28165| -4.05037|O            |728        |          |11.60|        |         |    0.30|             |            |   -0.60|     0.60|             |              |556,728        |10.366|          |10.093|          | 9.832|              |815,850    |         |  103.2000|              |138        |O8-9Ve      |4U 0728-25           |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
SAX J1819.3-2525     |V4641 Sgr   |18 19 21.48|-25 25 36.0|  2.800|        |    1.00|13000.0|T, R     |  6.75638| -4.79765|O            |244        |          | 8.80|   13.50|         |   -0.20|             |            |    1.80|     0.32|             |              |572,741        |12.532|          |12.364|          |12.270|(2--12 keV)   |713        |         |          |              |572        |B9III       |XTE J1819-254        |               |            |          |                                  HMXRB|
