name        |ra        |dec      |lim_mag1|mag1|type1|orbital_period|orbital_period_flag|lim_lx_lopt|lx_lopt|period2  |period2_flag|period3    |period3_flag|period4|eclipse|lim_mass_ratio|mass_ratio|lim_inclination|inclination|inclination_flag|inclination_error|m1   |m1_flag|m1_error|lim_m2|m2    |m2_flag|m2_error|class                 |
NGC 104-X5  |00 24 00.9|-72 04 53|        |21.7|XT   |      0.361100|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
NGC 104-X7  |00 24 03.5|-72 04 52|        |    |XT   |      0.230000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
NGC 104-W37 |00 24 05.0|-72 04 51|        |    |QN   |      0.128600|:                  |           |       |         |            |           |            |       |1?     |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
LMC X-2     |05 20 28.3|-71 57 32|        |16.7|EG   |      0.320000|:                  |           |  400.0|12.543000|:           |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1306-7027  |13 06 55.3|-70 27 05|        |    |XT   |      0.406000|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
GR Mus      |12 57 37.2|-69 17 19|        |18.9|AS   |      0.163889|                   |           |  200.0| 0.160000|            |  0.0105000|            |       |D      |              |      2.70|               |       69.0|                |              4.0| 1.92|       |    0.72|      | 0.650|       |   0.200|         LMXRB BURSTER|
GU Mus      |11 26 26.6|-68 40 32|        |20.1|XT   |      0.432602|                   |&gt;          |  100.0| 0.437600|            |           |            |       |       |              |      7.50|               |       54.0|                |              1.5| 6.95|       |    0.60|      | 0.850|       |   0.250|      LMXRB BLACK HOLE|
UY Vol      |07 48 33.7|-67 45 08|        |21.7|XT   |      0.159338|                   |           |       |         |            |  0.0018100|            |       |1      |              |          |               |           |                |                 | 1.27|       |        |      |      |       |        |         LMXRB BURSTER|
KZ TrA      |16 32 16.7|-67 27 42|        |18.5|XP   |      0.028760|                   |           |  170.0|         |            |  7.6753000|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
BW Cir      |13 58 09.9|-64 44 05|        |21.2|XT   |      2.544510|                   |           |       |         |            |           |            |       |       |              |      9.60|&lt;              |       79.0|                |                 | 7.60|       |    0.70|&gt;     | 0.900|       |   0.350|      LMXRB BLACK HOLE|
V395 Car    |09 22 34.9|-63 17 43|        |15.5|DC   |      9.002600|                   |           |    1.6|         |            |           |            |       |1      |              |      4.20|               |       82.2|                |              1.0| 1.44|       |    0.10|      | 0.350|       |   0.030|                 LMXRB|
QU TrA      |15 47 54.3|-62 34 11|        |20.0|     |      0.012640|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
1323-6152   |13 26 37.0|-62 08 09|        |17.0|XB   |      0.122580|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
LU TrA      |16 01 02.2|-60 44 19|        |18.6|AS   |      0.462290|:                  |           |  180.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1910-5959#1|19 10 55.6|-59 59 18|        |18.1|QN   |      0.226000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V381 Nor    |15 50 58.8|-56 28 35|        |21.4|XT   |      1.542033|                   |           |       |         |            |           |            |       |       |              |     30.10|               |       74.7|                |              3.8| 9.10|       |    0.60|      | 0.300|       |   0.070|      LMXRB BLACK HOLE|
J1538-5542  |15 38 18.3|-55 42 12|        |    |     |      1.230000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
0918-5459   |09 20 27.0|-55 12 26|        |21.0|XB   |      0.012070|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V801 Ara    |16 40 55.6|-53 45 05|        |17.5|AS   |      0.158047|                   |           | 1700.0|         |            |  0.0017180|            |       |       |              |          |               |           |                |                 | 1.45|       |    0.20|      |      |       |        |         LMXRB BURSTER|
QX Nor      |16 12 43.0|-52 25 23|        |22.3|XT   |      0.537000|:                  |           |       |         |            |  0.0016200|            |       |       |              |          |               |           |                |                 | 1.74|       |    0.14|      |      |       |        |         LMXRB BURSTER|
J1650-4957  |16 50 00.8|-49 57 45|        |24.0|XT   |      0.320500|                   |           |       |         |            |           |            |       |       |              |          |&gt;              |       50.0|                |              3.0| 2.73|       |    0.56|      |      |       |        |      LMXRB BLACK HOLE|
1624-4904   |16 28 02.8|-49 11 55|        |18.3|DC   |      0.869910|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1227-4853  |12 27 58.7|-48 53 43|        |15.7|     |      0.288000|                   |           |       |         |            |859.6000000|:           |       |       |              |      1.89|               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V821 Ara    |17 02 49.4|-48 47 23|        |20.2|XT   |      1.755700|                   |           |   10.0|         |            |           |            |       |       |&gt;             |     12.50|               |           |                |                 | 5.80|       |    0.50|      |      |       |        |      LMXRB BLACK HOLE|
IL Lup      |15 47 08.3|-47 40 11|        |16.6|XT   |      1.116407|                   |           |       |         |            |           |            |       |       |              |      3.60|               |       20.7|                |              1.5| 9.40|       |    1.00|      | 2.450|       |   0.150|      LMXRB BLACK HOLE|
MM Vel      |10 13 36.3|-45 04 32|        |21.4|XT   |      0.285206|                   |           |       |         |            |           |            |       |       |              |      7.30|               |       78.0|                |                 | 4.40|       |        |      | 0.600|       |        |      LMXRB BLACK HOLE|
V926 Sco    |17 38 58.1|-44 27 00|        |17.5|AS   |      0.193834|                   |           | 1100.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
1705-4402   |17 08 54.5|-44 06 07|        |17.0|AS   |      0.054000|:                  |           |       |         |            |           |            |       |D?     |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
0512-4006   |05 14 06.4|-40 02 38|        |    |GC   |      0.011672|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
V1033 Sco   |16 54 00.1|-39 50 45|        |17.0|XT   |      2.621200|                   |           |       |         |            |           |            |       |1      |              |      2.39|               |       70.2|                |              1.6| 6.59|       |    0.45|      | 2.760|       |   0.330|      LMXRB BLACK HOLE|
J0055-3738  |00 55 10.9|-37 38 54|        |    |SS   |      0.225000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      SUPERSOFT SOURCE|
V691 CrA    |18 25 46.6|-37 06 18|        |15.3|DC   |      0.232109|                   |           |   20.0|         |            |  0.5929010|            |       |1      |              |      3.90|               |       82.5|                |              1.5| 1.97|       |    0.36|      | 0.500|       |   0.060|    LMXRB X-RAY PULSAR|
1746-3702   |17 50 12.7|-37 03 07|        |18.8|GC   |      0.215137|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
V4580 Sgr   |18 08 27.6|-36 58 43|        |21.8|XB   |      0.083902|                   |           |       |         |            |  0.0024940|            |       |       |              |          |               |       50.0|                |              6.0| 1.00|       |    0.30|      | 0.040|       |   0.020|         LMXRB BURSTER|
V1101 Sco   |17 05 44.4|-36 25 23|        |18.2|ZS   |      0.938000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1748-3607  |17 48 13.1|-36 07 57|        |    |XB   |      0.036000|                   |           |       |         |            |  0.0018900|            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
1728-3347   |17 31 57.7|-33 50 01|        |19.6|GC   |      0.007479|                   |           |       |         |            |  0.0027460|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
V4134 Sgr   |17 58 39.9|-33 48 27|&gt;       |22.0|XT   |      0.185800|                   |           | 1400.0|         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V5511 Sgr   |18 13 39.0|-33 46 22|        |22.8|XB   |      0.178110|                   |           |       |         |            |  0.0031810|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J0556-3310  |05 56 46.3|-33 10 26|        |19.9|XT   |      0.684000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
1832-3301   |18 35 43.7|-32 59 27|        |18.9|XB   |      0.089500|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V822 Cen    |14 58 21.9|-31 40 07|        |18.2|XT   |      0.629052|                   |           |  300.0|         |            |           |            |       |       |              |      5.10|               |       39.0|                |              6.0| 1.14|       |    0.45|      | 0.230|       |   0.100|         LMXRB BURSTER|
BW Ant      |09 29 20.2|-31 23 03|        |28.2|XT   |      0.030263|                   |           |       |         |            |  0.0054020|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.008|       |        |    LMXRB X-RAY PULSAR|
1747-3116   |17 50 46.9|-31 16 29|        |    |XT   |      0.514980|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1751-3057  |17 51 08.7|-30 57 41|        |18.0|XT   |      0.144531|                   |           |       |         |            |  0.0040840|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.150|       |        |         LMXRB BURSTER|
J1751-3037  |17 51 13.5|-30 37 23|&gt;       |23.1|XT   |      0.029460|                   |           |       |         |            |  0.0022970|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.014|       |        |    LMXRB X-RAY PULSAR|
1820-3023   |18 23 40.5|-30 21 40|        |18.7|GC   |      0.007928|                   |           |       | 0.008020|            |           |            |       |       |              |          |               |           |                |                 | 1.58|       |    0.06|      |      |       |        |LMXRB GLOBULAR CLUSTER|
V2134 Oph   |17 02 06.4|-29 56 44|        |23.6|XT   |      0.296505|                   |           |  600.0|         |            |  0.0017600|            |       |1      |              |          |&gt;              |       65.0|                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
1740-2943   |17 43 54.8|-29 44 43|        |18.1|XT   |     12.730000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
J1806-2924  |18 06 59.8|-29 24 30|        |22.1|XP   |      0.027829|                   |           |       |         |            |  0.0052460|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
J1749-2919  |17 49 55.4|-29 19 20|&gt;       |22.5|XT   |      0.160134|                   |           |       |         |            |  0.0024940|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.170|       |        |         LMXRB BURSTER|
J1745-2901  |17 45 35.7|-29 01 34|        |    |XT   |      0.347960|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1745-2900  |17 45 40.0|-29 00 31|        |    |XT   |      0.323626|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
J1744-2844  |17 44 33.1|-28 44 27|        |    |XT   |     11.836700|                   |           |       |         |            |  0.4670900|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
J1749-2808  |17 49 31.7|-28 08 05|        |18.4|XB   |      0.367369|                   |           |       |         |            |  0.0019300|            |       |1      |              |          |               |       77.3|                |              0.6|     |       |        |      | 0.720|       |   0.100|         LMXRB BURSTER|
J1710-2807  |17 10 12.6|-28 07 51|        |19.7|XT   |      0.136711|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1623-2631  |16 23 34.1|-26 31 35|        |20.3|QN   |      0.262822|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
1758-2544   |18 01 12.4|-25 44 36|        |22.6|XT   |     18.500000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V4641 Sgr   |18 19 21.6|-25 24 25|        |13.0|XT   |      2.817300|                   |           |       |         |            |           |            |       |       |              |      2.30|               |       75.0|                |              2.0| 7.10|       |    0.30|      | 3.100|       |   0.200|      LMXRB BLACK HOLE|
J1756-2506  |17 56 57.2|-25 06 28|        |19.7|XT   |      0.037990|                   |           |       |         |            |  0.0054930|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.007|       |        |    LMXRB X-RAY PULSAR|
V2107 Oph   |17 08 14.5|-25 05 30|        |21.3|XT   |      0.521000|                   |           |       |         |            |           |            |       |       |&gt;             |     19.00|               |       70.0|:               |                 | 6.65|       |    0.25|      | 0.450|       |   0.150|      LMXRB BLACK HOLE|
V2293 Oph   |17 19 36.8|-25 01 03|        |21.0|XT   |              |                   |           |       | 0.612700|:           |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
J1900-2455  |19 00 08.7|-24 55 14|        |    |XT   |      0.057815|                   |           |       |         |            |  0.0026500|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
J1824-2452  |18 24 32.5|-24 52 08|        |20.8|XT   |      0.459408|                   |           |       |         |            |  0.0039300|            |       |1      |              |          |               |           |                |                 | 1.35|:      |        |      | 0.200|:      |        |         LMXRB BURSTER|
J1748-2446  |17 48 04.8|-24 46 49|        |24.3|XT   |      0.886439|                   |           |       |         |            |  0.0905400|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V4634 Sgr   |18 29 28.2|-23 47 49|        |17.5|XB   |      0.093725|                   |           |       |         |            |  0.0016360|            |       |       |              |          |               |       62.5|                |              0.5|     |       |        |      |      |       |        |         LMXRB BURSTER|
J1748-2021#1|17 48 52.2|-20 21 32|        |    |XT   |      0.365219|                   |           |       |         |            |  0.0022600|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.100|       |        |    LMXRB X-RAY PULSAR|
J1748-2021#2|17 48 52.8|-20 21 24|&gt;       |22.0|XT   |      0.039800|                   |           |       |         |            |  0.0048570|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.007|       |        |    LMXRB X-RAY PULSAR|
V5512 Sgr   |18 14 31.1|-17 09 26|        |11.7|AS   |     24.527400|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V2216 Oph   |17 31 44.1|-16 57 41|        |16.8|AS   |      0.174827|                   |           |  400.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V818 Sco    |16 19 55.0|-15 38 25|        |12.1|ZS   |      0.787311|                   |           |  500.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1659-1515  |16 59 01.7|-15 15 29|        |23.7|XT   |      0.100580|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
1813-1403   |18 16 01.4|-14 02 11|        |18.5|ZS   |      0.813000|:                  |           | 3000.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1357-0932  |13 57 16.8|-09 32 39|        |22.8|XT   |      0.120000|:                  |           |       |         |            |           |            |       |       |&gt;             |     16.00|               |           |                |                 | 3.00|       |        |      |      |       |        |      LMXRB BLACK HOLE|
1850-0846   |18 53 04.8|-08 42 20|        |20.3|GC   |      0.014270|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
J1910-0547  |19 10 22.8|-05 47 56|        |    |XB   |      0.093000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
LZ Aqr      |21 23 14.5|-05 47 53|        |21.7|XT   |      0.248170|                   |           |       |         |            |           |            |       |1      |              |      2.78|               |       72.5|                |              0.7| 1.30|       |    0.24|      | 0.600|       |   0.240|         LMXRB BURSTER|
V1405 Aql   |19 18 47.8|-05 14 17|        |21.5|XB   |      0.034730|                   |           |10000.0| 0.035041|            |  0.0037000|            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1753-0127  |17 53 28.3|-01 37 06|&gt;       |21.0|XT   |      0.125000|*                  |           |       | 0.135180|            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V616 Mon    |06 22 44.4|-00 20 45|        |17.9|XT   |      0.323014|                   |           |  200.0|         |            |           |            |       |       |              |     16.10|               |       51.0|                |              0.9| 6.64|       |    0.25|      | 0.400|       |   0.010|      LMXRB BLACK HOLE|
1822-0002   |18 25 22.0|-00 00 44|        |21.6|     |      0.133000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V1333 Aql   |19 11 15.9|+00 35 06|        |21.6|XT   |      0.789500|                   |           |  900.0|         |            |  0.0018200|            |       |       |              |          |               |           |                |                 | 1.23|       |    0.12|      |      |       |        |         LMXRB BURSTER|
AY Sex      |10 23 47.7|+00 38 41|        |17.3|XT   |      0.198096|                   |           |       |         |            |  0.0016880|            |       |1      |              |      7.10|&lt;              |       55.0|:               |                 | 1.71|       |    0.16|      |      |       |        |                 LMXRB|
MM Ser      |18 39 57.6|+05 02 10|        |19.0|AS   |      0.086000|:                  |           | 1200.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V1055 Ori   |06 17 07.3|+09 08 13|        |18.4|XB   |      0.033713|:                  |           | 1200.0| 0.035000|:           |  0.0024100|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V1487 Aql   |19 15 11.5|+10 56 45|        |23.4|XT   |     33.900000|                   |           |       |31.400000|            |           |            |       |       |              |     24.00|               |       66.0|                |              2.0|10.10|       |    0.60|      | 0.470|       |   0.270|      LMXRB BLACK HOLE|
V1408 Aql   |19 59 24.0|+11 42 30|        |18.7|BH   |      0.388879|                   |           |  800.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
AC 211      |21 29 58.4|+12 10 01|        |15.6|GC   |      0.713010|                   |           |   20.0|         |            |           |            |       |       |              |     10.00|               |       90.0|:               |                 | 1.40|:      |        |      | 0.150|:      |        |LMXRB GLOBULAR CLUSTER|
NGC 7078-X2 |21 29 58.1|+12 10 03|        |19.0|GC   |      0.015681|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
J1047+1234  |10 47 50.0|+12 34 57|        |    |XT   |      0.525000|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V406 Vul    |18 58 41.7|+22 39 30|        |23.3|XT   |      0.274000|                   |           |       | 0.383400|            |           |            |       |       |              |          |               |           |                |                 | 5.40|       |        |      |      |       |        |                 LMXRB|
QZ Vul      |20 02 49.4|+25 14 11|        |21.0|XT   |      0.344087|                   |           |       | 0.347400|            |           |            |       |       |              |     24.00|               |       64.0|                |              1.3| 7.50|       |    0.30|      | 0.330|       |   0.080|      LMXRB BLACK HOLE|
UW CrB      |16 05 45.7|+25 51 45|        |19.7|DC   |      0.077067|                   |           |   16.0| 0.078300|            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1242+3232  |12 42 16.1|+32 32 50|        |    |UL   |      0.170000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V518 Per    |04 21 42.8|+32 54 27|        |22.4|XT   |      0.212160|                   |           |       | 0.215900|            |           |            |       |       |              |      8.80|               |       45.0|                |              2.0| 3.97|       |    0.95|      | 0.460|       |   0.310|      LMXRB BLACK HOLE|
0042+3244   |00 44 48.8|+33 00 33|        |18.8|XT   |     11.600000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V404 Cyg    |20 24 03.8|+33 52 03|        |19.2|XT   |      6.471400|                   |           |       | 0.235850|            |           |            |       |       |              |     16.70|               |       56.0|                |              4.0|10.00|       |    2.00|      | 0.650|       |   0.250|      LMXRB BLACK HOLE|
V1341 Cyg   |21 44 41.1|+38 19 18|        |14.1|ZS   |      9.844500|                   |           |  140.0|         |            |           |            |       |       |              |      2.94|               |       62.5|                |              4.0| 1.71|       |    0.21|      | 0.580|       |   0.080|         LMXRB BURSTER|
J0043+4107  |00 43 14.4|+41 07 26|        |    |GC   |      0.115900|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
J0043+4112  |00 43 08.7|+41 12 48|        |    |     |      0.074000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J0042+4118  |00 42 07.7|+41 18 16|        |    |EG   |      0.124000|:                  |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
M 51 X-7    |13 30 01.0|+47 13 44|        |    |UL   |      0.069000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V1727 Cyg   |21 31 26.2|+47 17 25|        |18.0|DC   |      0.218259|                   |           |   30.0|         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
KV UMa      |11 18 10.9|+48 02 13|        |19.5|XT   |      0.169934|                   |           |       | 0.170600|            |           |            |       |       |              |     42.00|               |       73.5|                |              5.5| 7.29|       |    0.52|      | 0.180|       |   0.060|      LMXRB BLACK HOLE|
V1037 Cas   |00 29 03.1|+59 34 19|        |24.0|XT   |      0.102362|                   |           |       |         |            |  0.0016700|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
